gender,year,ending,counts,prop
F,1880,a,31446,0.3455870231776071
F,1880,d,609,0.0066928225248096005
F,1880,e,33378,0.3668194256701065
F,1880,g,7,7.692899453804139e-05
F,1880,h,4863,0.05344367149121361
F,1880,i,61,0.0006703812381172178
F,1880,k,13,0.00014286813271350543
F,1880,l,2541,0.027925225017309024
F,1880,m,58,0.0006374116690294857
F,1880,n,3008,0.03305748793863264
F,1880,o,30,0.0003296956908773202
F,1880,r,481,0.005286120910399701
F,1880,s,1391,0.015286890200345082
F,1880,t,2152,0.02365017089226644
F,1880,u,380,0.00417614541777939
F,1880,y,10469,0.11505280625982219
F,1880,z,106,0.0011649247744331982
F,1881,a,31581,0.3434397259529118
F,1881,d,607,0.006601054863792072
F,1881,e,34080,0.37061606220433907
F,1881,g,5,5.4374422271763365e-05
F,1881,h,4784,0.052025447229623184
F,1881,i,78,0.0008482409874395084
F,1881,k,15,0.0001631232668152901
F,1881,l,2911,0.03165678864662063
F,1881,m,57,0.0006198684138981024
F,1881,n,2959,0.032178783100429556
F,1881,o,49,0.0005328693382632809
F,1881,r,417,0.004534826817465065
F,1881,s,1316,0.014311347941928117
F,1881,t,2165,0.023544124843673537
F,1881,u,427,0.004643575662008591
F,1881,w,5,5.4374422271763365e-05
F,1881,y,10404,0.1131422978630852
F,1881,z,95,0.0010331140231635038
F,1882,a,36536,0.33876366468553837
F,1882,c,5,4.636025627949671e-05
F,1882,d,734,0.0068056856218301175
F,1882,e,40399,0.3745815986870775
F,1882,g,12,0.0001112646150707921
F,1882,h,5567,0.05161750934159164
F,1882,i,81,0.0007510361517278467
F,1882,k,11,0.00010199256381489277
F,1882,l,3527,0.032702524779556985
F,1882,m,81,0.0007510361517278467
F,1882,n,3576,0.03315685529109605
F,1882,o,35,0.000324521793956477
F,1882,r,590,0.005470510240980612
F,1882,s,1637,0.015178347905907224
F,1882,t,2399,0.022243650962902522
F,1882,u,410,0.0038015410149187306
F,1882,y,12145,0.11260906250289751
F,1882,z,106,0.0009828374331253304
F,1883,a,38330,0.3412510460996065
F,1883,c,5,4.451487687185057e-05
F,1883,d,810,0.0072114100532397925
F,1883,e,41914,0.373159309841349
F,1883,g,8,7.122380299496092e-05
F,1883,h,5701,0.05075586260928402
F,1883,i,76,0.0006766261284521288
F,1883,k,17,0.00015135058136429196
F,1883,l,3848,0.0342586492405762
F,1883,m,86,0.0007656558821958298
F,1883,n,3837,0.03416071651145813
F,1883,o,47,0.00041843984259539536
F,1883,r,640,0.005697904239596874
F,1883,s,1794,0.015971937821619986
F,1883,t,2554,0.022738199106141273
F,1883,u,444,0.003952921066220331
F,1883,x,7,6.23208276205908e-05
F,1883,y,12063,0.10739659194102669
F,1883,z,141,0.0012553195277861862
F,1884,a,43680,0.3385495384472295
F,1884,d,916,0.007099619441796296
F,1884,e,48089,0.3727222700180591
F,1884,g,24,0.00018601622991606018
F,1884,h,6602,0.05116996457940955
F,1884,i,84,0.0006510568047062106
F,1884,k,21,0.00016276420117655266
F,1884,l,4808,0.037265251393184054
F,1884,m,79,0.0006123034234736981
F,1884,n,4507,0.0349322978429868
F,1884,o,74,0.0005735500422411855
F,1884,r,718,0.0055649855449888
F,1884,s,2039,0.015803628866618614
F,1884,t,2825,0.021895660396369584
F,1884,u,490,0.0037978313607862284
F,1884,y,13917,0.1078661613225754
F,1884,z,148,0.001147100084482371
F,1885,a,45408,0.3412698412698413
F,1885,d,862,0.006478475228475228
F,1885,e,49616,0.3728956228956229
F,1885,g,11,8.267195767195767e-05
F,1885,h,6624,0.049783549783549784
F,1885,i,92,0.0006914381914381914
F,1885,k,18,0.00013528138528138528
F,1885,l,5144,0.03866041366041366
F,1885,m,75,0.0005636724386724387
F,1885,n,4735,0.03558651996151996
F,1885,o,84,0.0006313131313131313
F,1885,r,799,0.00600499037999038
F,1885,s,2127,0.01598575036075036
F,1885,t,2889,0.021712662337662336
F,1885,u,495,0.003720238095238095
F,1885,y,13927,0.10467021404521405
F,1885,z,150,0.0011273448773448773
F,1886,a,49100,0.33970305386818694
F,1886,d,1007,0.00696702597240864
F,1886,e,53884,0.3728016161839793
F,1886,g,18,0.0001245347244323292
F,1886,h,7146,0.0494402855996347
F,1886,i,85,0.0005880806431526657
F,1886,k,27,0.00018680208664849382
F,1886,l,5721,0.039581286582075305
F,1886,m,103,0.000712615367584995
F,1886,n,5242,0.036267279193014985
F,1886,o,93,0.0006434294095670342
F,1886,r,917,0.006344352350246994
F,1886,s,2524,0.017462535803733276
F,1886,t,3017,0.020873403534018734
F,1886,u,511,0.0035354024547177903
F,1886,w,5,3.459297900898034e-05
F,1886,y,14936,0.10333614689562606
F,1886,z,202,0.0013975563519628058
F,1887,a,48942,0.3352582149976367
F,1887,d,1027,0.007035065726831206
F,1887,e,54353,0.3723241747326744
F,1887,g,25,0.00017125281710884144
F,1887,h,7141,0.04891665467896947
F,1887,i,105,0.0007192618318571341
F,1887,k,19,0.0001301521410027195
F,1887,l,6175,0.04229944582588384
F,1887,m,90,0.0006165101415918292
F,1887,n,5512,0.03775782111615736
F,1887,o,97,0.0006644609303823048
F,1887,r,910,0.006233602542761828
F,1887,s,2803,0.019200865854243302
F,1887,t,3140,0.021509353828870485
F,1887,u,476,0.003260653637752341
F,1887,y,14980,0.10261468801161779
F,1887,z,188,0.0012878211846584877
F,1888,a,59442,0.3327641898662606
F,1888,d,1298,0.007266375936987421
F,1888,e,66750,0.37367534190594015
F,1888,g,44,0.00024631782837245496
F,1888,h,8630,0.04831188315577923
F,1888,i,141,0.0007893366772844579
F,1888,k,21,0.00011756078172321713
F,1888,l,7900,0.04422524645778168
F,1888,m,123,0.0006885702929502718
F,1888,n,6833,0.03825203911974965
F,1888,o,134,0.0007501497500433856
F,1888,r,1207,0.00675694588285348
F,1888,s,3582,0.020052510482503037
F,1888,t,3816,0.021362473478847458
F,1888,u,541,0.003028589662488594
F,1888,y,17931,0.10038011319423841
F,1888,z,238,0.0013323555261964609
F,1889,a,58631,0.3287062213725479
F,1889,d,1374,0.007703132270742113
F,1889,e,66663,0.37373646765973906
F,1889,g,28,0.00015697795020435166
F,1889,h,8826,0.04948169244655742
F,1889,i,134,0.0007512516188351115
F,1889,k,22,0.00012333981801770488
F,1889,l,8395,0.04706535328448329
F,1889,m,137,0.0007680706849284349
F,1889,n,7103,0.03982194215362535
F,1889,o,142,0.0007961024617506405
F,1889,r,1214,0.006806115412431532
F,1889,s,3569,0.020009082295690397
F,1889,t,3784,0.021214448699045235
F,1889,u,469,0.0026293806659228904
F,1889,y,17601,0.09867746076952834
F,1889,z,277,0.0015529604359501932
F,1890,a,62313,0.3273136986085504
F,1890,d,1438,0.007553433450469332
F,1890,e,70948,0.37267106845889997
F,1890,g,41,0.00021536214983952894
F,1890,h,9114,0.0478734300887187
F,1890,i,162,0.0008509431286342362
F,1890,k,39,0.00020485667911564946
F,1890,l,9294,0.048818922453867854
F,1890,m,148,0.00077740483356708
F,1890,n,7931,0.041659444155544
F,1890,o,159,0.0008351849225484171
F,1890,r,1392,0.007311807623820104
