gender,year,ending,counts,prop
F,1910,a,108376,0.27338957055214724
F,1910,c,5,1.2613012592831772e-05
F,1910,d,6750,0.017027567000322895
F,1910,e,133569,0.3369414958023894
F,1910,g,57,0.00014378834355828222
F,1910,h,20427,0.051529201646754924
F,1910,i,605,0.0015261745237326446
F,1910,k,48,0.00012108492089118501
F,1910,l,17121,0.043189477720374556
F,1910,m,476,0.0012007587988375847
F,1910,n,31412,0.07923999031320633
F,1910,o,658,0.0016598724572166612
F,1910,p,7,1.765821762996448e-05
F,1910,r,5308,0.013389974168550211
F,1910,s,15477,0.039042319179851466
F,1910,t,10877,0.027438347594446237
F,1910,u,271,0.000683625282531482
F,1910,w,8,2.0180820148530835e-05
F,1910,x,6,1.5135615111398127e-05
F,1910,y,43991,0.11097180739425251
F,1910,z,967,0.0024393566354536647
F,1960,a,691247,0.34185252479894285
F,1960,b,694,0.0003432140062965428
F,1960,c,49,2.4232689205375504e-05
F,1960,d,3729,0.0018441571029968419
F,1960,e,435013,0.21513336386322476
F,1960,f,20,9.89089355321449e-06
F,1960,g,318,0.0001572652074961104
F,1960,h,73247,0.03622391400461509
F,1960,i,80812,0.03996514449111847
F,1960,k,315,0.00015578157346312824
F,1960,l,68482,0.033867408615561735
F,1960,m,17417,0.008613484650816839
F,1960,n,264258,0.13068738742926775
F,1960,o,4932,0.0024390943502226935
F,1960,p,47,2.3243599850054052e-05
F,1960,r,13677,0.00676388755636573
F,1960,s,25810,0.0127641981304233
F,1960,t,30738,0.01520131430193535
F,1960,u,1161,0.0005741663707641013
F,1960,v,122,6.033445067460839e-05
F,1960,w,63,3.115631469262565e-05
F,1960,x,74,3.6596306146893616e-05
F,1960,y,308504,0.15256901123704417
F,1960,z,1333,0.0006592280553217459
F,2010,a,670605,0.3812400156906442
F,2010,b,450,0.00025582572014940224
F,2010,c,946,0.0005378025139140766
F,2010,d,2607,0.0014820836720655368
F,2010,e,313833,0.1784145627369941
F,2010,f,97,5.514465523220448e-05
F,2010,g,657,0.00037350555141812725
F,2010,h,133424,0.07585175752269742
F,2010,i,55820,0.03173375933053252
F,2010,j,159,9.039175445278879e-05
F,2010,k,626,0.0003558820018078351
F,2010,l,46360,0.02635573419139175
F,2010,m,4552,0.0025878192847112865
F,2010,n,246631,0.1402101181914827
F,2010,o,2187,0.0012433129999260947
F,2010,p,35,1.9897556011620174e-05
F,2010,q,53,3.0130584817596264e-05
F,2010,r,31707,0.01802548024172688
F,2010,s,23451,0.013331931029385848
F,2010,t,13773,0.007829972541372705
F,2010,u,734,0.0004172801746436916
F,2010,v,205,0.00011654282806806102
F,2010,w,2080,0.0011824833286905702
F,2010,x,1279,0.0007271135468246343
F,2010,y,205501,0.11682764736982734
F,2010,z,1238,0.0007038049812110221
M,1910,a,977,0.0050309477955488725
M,1910,b,411,0.002116396667318922
M,1910,c,482,0.002482002904252361
M,1910,d,22111,0.11385802119486298
M,1910,e,28655,0.14755558759616474
M,1910,f,152,0.0007827063100546864
M,1910,g,437,0.0022502806414072237
M,1910,h,8848,0.0455617462589728
M,1910,i,164,0.0008444989134800564
M,1910,k,7104,0.03658122122781903
M,1910,l,12626,0.06501611757072678
M,1910,m,11272,0.05804385215089754
