,gender,year,counts
0,F,1880,90993
1,F,1881,91955
2,F,1882,107851
3,F,1883,112322
4,F,1884,129021
5,F,1885,133056
6,F,1886,144538
7,F,1887,145983
8,F,1888,178631
9,F,1889,178369
10,F,1890,190377
11,F,1891,185486
12,F,1892,212350
13,F,1893,212908
14,F,1894,222923
15,F,1895,233632
16,F,1896,237924
17,F,1897,234199
18,F,1898,258771
19,F,1899,233022
20,F,1900,299873
21,F,1901,239351
22,F,1902,264079
23,F,1903,261976
24,F,1904,275375
25,F,1905,291641
26,F,1906,295301
27,F,1907,318558
28,F,1908,334277
29,F,1909,347191
30,F,1910,396416
31,F,1911,418180
32,F,1912,557939
33,F,1913,624317
34,F,1914,761376
35,F,1915,983824
36,F,1916,1044249
37,F,1917,1081194
38,F,1918,1157585
39,F,1919,1130149
40,F,1920,1198214
41,F,1921,1232845
42,F,1922,1200796
43,F,1923,1206239
44,F,1924,1248821
45,F,1925,1217217
46,F,1926,1185078
47,F,1927,1192207
48,F,1928,1152836
49,F,1929,1116284
50,F,1930,1125521
51,F,1931,1064233
52,F,1932,1066930
53,F,1933,1007523
54,F,1934,1043879
55,F,1935,1048264
56,F,1936,1040068
57,F,1937,1063722
58,F,1938,1103173
59,F,1939,1096394
60,F,1940,1143281
61,F,1941,1207799
62,F,1942,1350524
63,F,1943,1394891
64,F,1944,1327077
65,F,1945,1307299
66,F,1946,1570555
67,F,1947,1772246
68,F,1948,1697664
69,F,1949,1709607
70,F,1950,1713001
71,F,1951,1798537
72,F,1952,1854427
73,F,1953,1880072
74,F,1954,1941562
75,F,1955,1954508
76,F,1956,2007416
77,F,1957,2043983
78,F,1958,2010620
79,F,1959,2022889
80,F,1960,2022062
81,F,1961,2016762
82,F,1962,1966340
83,F,1963,1927055
84,F,1964,1894277
85,F,1965,1764815
86,F,1966,1691650
87,F,1967,1650576
88,F,1968,1639977
89,F,1969,1686705
90,F,1970,1747811
91,F,1971,1663043
92,F,1972,1521044
93,F,1973,1457913
94,F,1974,1467227
95,F,1975,1457349
96,F,1976,1464852
97,F,1977,1532574
98,F,1978,1531242
99,F,1979,1604588
100,F,1980,1659259
101,F,1981,1666833
102,F,1982,1692036
103,F,1983,1669486
104,F,1984,1682396
105,F,1985,1719450
106,F,1986,1714053
107,F,1987,1737508
108,F,1988,1779112
109,F,1989,1843057
110,F,1990,1897256
111,F,1991,1874110
112,F,1992,1842818
113,F,1993,1807795
114,F,1994,1784407
115,F,1995,1757240
116,F,1996,1751681
117,F,1997,1739331
118,F,1998,1765390
119,F,1999,1772139
120,F,2000,1813960
121,F,2001,1798284
122,F,2002,1794358
123,F,2003,1824406
124,F,2004,1833005
125,F,2005,1843890
126,F,2006,1896468
127,F,2007,1916888
128,F,2008,1883645
129,F,2009,1827643
130,F,2010,1759010
131,M,1880,110493
132,M,1881,100748
133,M,1882,113687
134,M,1883,104632
135,M,1884,114445
136,M,1885,107802
137,M,1886,110785
138,M,1887,101412
139,M,1888,120857
140,M,1889,110590
141,M,1890,111026
142,M,1891,101198
143,M,1892,122038
144,M,1893,112319
145,M,1894,115775
146,M,1895,117398
147,M,1896,119575
148,M,1897,112760
149,M,1898,122703
150,M,1899,106218
151,M,1900,150554
152,M,1901,106478
153,M,1902,122660
154,M,1903,119240
155,M,1904,128129
156,M,1905,132319
157,M,1906,133159
158,M,1907,146838
159,M,1908,154339
160,M,1909,163983
161,M,1910,194198
162,M,1911,225936
163,M,1912,429926
164,M,1913,512482
165,M,1914,654746
166,M,1915,848647
167,M,1916,890142
168,M,1917,925512
169,M,1918,1013720
170,M,1919,980215
171,M,1920,1064468
172,M,1921,1101374
173,M,1922,1088380
174,M,1923,1096227
175,M,1924,1132671
176,M,1925,1115798
177,M,1926,1110440
178,M,1927,1126259
179,M,1928,1107113
180,M,1929,1074833
181,M,1930,1096663
182,M,1931,1038586
183,M,1932,1043512
184,M,1933,990677
185,M,1934,1031962
186,M,1935,1040649
187,M,1936,1036662
188,M,1937,1065964
189,M,1938,1108480
190,M,1939,1106328
191,M,1940,1158668
192,M,1941,1227621
193,M,1942,1380468
194,M,1943,1426400
195,M,1944,1362379
196,M,1945,1346227
197,M,1946,1622540
198,M,1947,1827415
199,M,1948,1753472
200,M,1949,1770104
201,M,1950,1789936
202,M,1951,1877553
203,M,1952,1943533
204,M,1953,1968772
205,M,1954,2036948
206,M,1955,2057390
207,M,1956,2113067
208,M,1957,2155427
209,M,1958,2120014
210,M,1959,2133147
211,M,1960,2132588
212,M,1961,2121629
213,M,1962,2068493
214,M,1963,2031443
215,M,1964,1992762
216,M,1965,1861138
217,M,1966,1783577
218,M,1967,1744222
219,M,1968,1738585
220,M,1969,1789326
221,M,1970,1858782
222,M,1971,1768325
223,M,1972,1622178
224,M,1973,1558562
225,M,1974,1572415
226,M,1975,1561378
227,M,1976,1569098
228,M,1977,1642747
229,M,1978,1641143
230,M,1979,1720781
231,M,1980,1782388
232,M,1981,1789568
233,M,1982,1812642
234,M,1983,1790670
235,M,1984,1802735
236,M,1985,1846162
237,M,1986,1839442
238,M,1987,1865113
239,M,1988,1911858
240,M,1989,1999840
241,M,1990,2052070
242,M,1991,2019018
243,M,1992,1995760
244,M,1993,1959712
245,M,1994,1930363
246,M,1995,1902100
247,M,1996,1892700
248,M,1997,1883571
249,M,1998,1909676
250,M,1999,1918267
251,M,2000,1961702
252,M,2001,1940498
253,M,2002,1938941
254,M,2003,1972439
255,M,2004,1981557
256,M,2005,1993285
257,M,2006,2050234
258,M,2007,2069242
259,M,2008,2032310
260,M,2009,1973359
261,M,2010,1898382
