year,gender,name,counts,prop
1880,F,Mary,7065,0.07764333520160892
1880,M,John,9655,0.08738110106522586
1880,M,Harry,2152,0.019476346917904303
1881,F,Mary,6919,0.07524332553966614
1881,M,John,8769,0.08703894866399332
1881,M,Harry,2002,0.019871362210664233
1882,F,Mary,8149,0.07555794568432374
1882,M,John,9557,0.08406414101876204
1882,M,Harry,2232,0.01963285160132645
1883,F,Mary,8012,0.07133063869945336
1883,M,John,8894,0.08500267604556923
1883,M,Harry,2110,0.020165914825292452
1884,F,Mary,9217,0.07143798296401362
1884,M,John,9387,0.08202193193236926
1884,M,Harry,2323,0.020297959718642143
1885,F,Mary,9128,0.06860269360269361
1885,M,John,8756,0.08122298287601343
1885,M,Harry,2198,0.02038923211072151
1886,F,Mary,9891,0.0684318310755649
1886,M,John,9026,0.08147312361781829
1886,M,Harry,2257,0.020372794150832693
1887,F,Mary,9888,0.06773391422288896
1887,M,John,8109,0.07996095136670217
1887,M,Harry,2057,0.020283595629708516
1888,F,Mary,11754,0.06580044897022354
1888,M,John,9248,0.07652018501203903
1888,M,Harry,2759,0.022828632185144426
1889,F,Mary,11649,0.06530843364037472
1889,M,John,8548,0.07729451125779908
1889,M,Harry,2559,0.02313952436929198
1890,F,Mary,12078,0.06344253770150807
1890,M,John,8502,0.07657665771981338
1890,M,Harry,2345,0.0211211788229784
1891,F,Mary,11704,0.0630991018190052
1891,M,John,7681,0.07590070950018775
1891,M,Harry,2132,0.021067610031818812
1892,F,Mary,13174,0.06203908641393925
1892,M,John,9039,0.07406709385601207
1892,M,Harry,2460,0.020157655812124094
1893,F,Mary,12784,0.060044714148834236
1893,M,John,8049,0.07166196280237538
1893,M,Harry,2245,0.019987713565825908
1894,F,Mary,13151,0.058993464110926194
1894,M,John,8238,0.0711552580436191
1894,M,Harry,2189,0.018907363420427554
1895,F,Mary,13446,0.05755204766470347
1895,M,John,8321,0.07087854989011738
1895,M,Harry,2128,0.018126373532768872
1896,F,Mary,13811,0.0580479480842622
1896,M,John,8139,0.06806606732176458
1896,M,Harry,2091,0.01748693288730922
1897,F,Mary,13412,0.05726753743611202
1897,M,John,7550,0.06695636750620787
1897,M,Harry,1880,0.01667257892869812
1898,F,Mary,14406,0.05567084410540594
1898,M,John,8160,0.06650204151487739
1898,M,Harry,2129,0.017350839017790925
1899,F,Mary,13172,0.056526851541914495
1899,M,John,6990,0.06580805513189855
1899,M,Harry,1732,0.016306087480464703
1900,F,Mary,16710,0.055723589652953084
1900,M,John,9834,0.06531875606094822
1900,M,Harry,2272,0.015090930828805612
1901,F,Mary,13137,0.054885920677164496
1901,M,John,6899,0.06479272713612201
1901,M,Harry,1594,0.014970228591821785
1902,F,Mary,14485,0.05485101049307215
1902,M,John,7908,0.06447089515734551
1902,M,Harry,1750,0.014267079732594163
1903,F,Mary,14275,0.05448972424954958
1903,M,John,7609,0.06381247903388125
1903,M,Harry,1647,0.013812479033881248
1904,F,Mary,14962,0.05433318202451203
1904,M,John,8108,0.0632799756495407
1904,M,Harry,1722,0.01343958042285509
1905,F,Mary,16067,0.05509170521291588
1905,M,John,8059,0.0609058411868288
1905,M,Harry,1619,0.012235582191522003
1906,F,Mary,16371,0.055438349345244345
1906,M,John,8263,0.06205363512792977
1906,M,Harry,1631,0.012248514933275258
1907,F,Mary,17579,0.05518304359017824
1907,M,John,8983,0.06117626227543279
1907,M,Harry,1813,0.012346940165352293
1908,F,Mary,18664,0.05583393413247097
1908,M,John,9342,0.06052909504402646
1908,M,Harry,1934,0.012530857398324468
